instruct+question,answer
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is ISO?",ISO (the International Organization for Standardization) is a worldwide federation of national standards bodies (ISO member bodies).
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is the purpose of ISO?",The purpose of ISO is to develop International Standards.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 How are International Standards prepared?",International Standards are prepared through ISO technical committees.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 Who can be represented on ISO technical committees?",Each member body interested in a subject for which a technical committee has been established has the right to be represented on that committee.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 Which organizations collaborate with ISO?","International organizations, governmental and non-governmental, collaborate with ISO."
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is the relationship between ISO and the International Electrotechnical Commission (IEC)?",ISO collaborates closely with the International Electrotechnical Commission (IEC) on all matters of electrotechnical standardization.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 Where can the procedures for developing ISO documents be found?","The procedures for developing ISO documents can be found in the ISO/IEC Directives, Part 1."
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What should be noted about the different approval criteria for ISO documents?",The different approval criteria needed for the different types of ISO documents should be noted.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What should be considered regarding patent rights in this document?","There is a possibility that some elements of this document may be the subject of patent rights, and ISO shall not be held responsible for identifying any or all such patent rights."
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 How are trade names used in this document?",Any trade name used in this document is provided for the convenience of users and does not constitute an endorsement.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 Which committee is responsible for this document?","The committee responsible for this document is Technical Committee ISO/TC 176, Quality management and quality assurance, Subcommittee SC 2, Quality systems."
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What changes were made in the fifth edition compared to the fourth edition?","The fifth edition cancels and replaces the fourth edition (ISO 9001:2008), which has been technically revised, through the adoption of a revised clause sequence and the adaptation of the revised quality management principles and new concepts."
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What does the fifth edition cancel and replace?",The fifth edition cancels and replaces the fourth edition (ISO 9001:2008) and the Technical Corrigendum ISO 9001:2008/Cor.1:2009.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is the purpose of the Technical Corrigendum ISO 9001:2008/Cor.1:2009?",No answer.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is the URL for more information on ISO's adherence to WTO principles?",The URL for more information on ISO's adherence to WTO principles is www.iso.org/iso/foreword.html.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is the URL for the ISO list of patent declarations received?",The URL for the ISO list of patent declarations received is www.iso.org/patents.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is the URL for an explanation of ISO specific terms and expressions related to conformity assessment?",No answer.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is the URL for the ISO/IEC Directives?",The URL for the ISO/IEC Directives is www.iso.org/directives.
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What is the purpose of this International Standard?","The purpose of this International Standard is to specify requirements for a quality management system that enables an organization to consistently provide products and services that meet customer and applicable statutory and regulatory requirements, and to enhance customer satisfaction through effective application of the system."
"Please answer the following question about ISO 9001 document. Answer it like you are a expert answering ISO 9001 questions. Only answer the given question, no extra output please.

ISO9001 question:
 What types of organizations does this International Standard apply to?","This International Standard is intended to be applicable to any organization, regardless of its type or size, or the products and services it provides."
